Bank,Specialisation,Country,Year,Loans,Assets,Exposure_app,Exposure_pepp,GovSec,GovSec_over_A,Loans_G,Loans_G_H,L_over_A,L_over_A_G,L_over_A_G_H,ROA,Deposits_over_A,Equity_over_A,treat_50,treat_75,treat_50_pepp,treat_75_pepp,app_dummy,pepp_dummy
AXA BANK GMBH,Commercial bank,DE,2013,357445,718133,46.72046218,18.80488232,340061,47.35348466,-10.93280713,-7.151113709,49.77420617,-4.394843541,-5.55914168,0.649740368,76.47385651,8.995548178,1,1,1,1,0,0
AXA BANK GMBH,Commercial bank,DE,2014,366681,732527,46.72046218,18.80488232,342240,46.72046218,2.551075612,1.707886029,50.05699449,0.282788315,0.378045582,0.624413844,77.78443661,7.658420782,1,1,1,1,0,0
AXA BANK GMBH,Commercial bank,DE,2015,428376,812647,46.72046218,18.80488232,361611,44.49791853,15.55090543,10.62115554,52.71366288,2.656668396,3.476685487,0.360796262,84.04830142,7.264039614,1,1,1,1,1,0
AXA BANK GMBH,Commercial bank,DE,2016,514028,855699,46.72046218,18.80488232,313528,36.63998672,18.22764241,12.49682662,60.07112314,7.357460258,8.891273975,0.125628288,69.15831385,6.681671943,1,1,1,1,1,0
AXA BANK GMBH,Commercial bank,DE,2017,655816,935482,46.72046218,18.80488232,241829,25.85073791,24.36025231,16.84070998,70.10460917,10.03348603,10.54786005,0.374673163,82.27865421,6.371688605,1,1,1,1,1,0
AXA BANK GMBH,Commercial bank,DE,2018,758219,1057296,46.72046218,18.80488232,256383,24.24893313,14.50920003,9.894721891,71.71303022,1.608421046,1.517935051,0.369811292,84.07002391,5.305704363,1,1,1,1,1,0
AXA BANK GMBH,Commercial bank,DE,2019,898633,1261449,46.72046218,18.80488232,237214,18.80488232,16.99024576,11.62814675,71.23815549,-0.474874734,-0.442434928,0.646320224,82.83466078,5.105002263,1,1,1,1,0,0
AXA BANK GMBH,Commercial bank,DE,2020,13085,197636,46.72046218,18.80488232,n.a.,,-422.9408184,-97.83163596,6.620757352,-64.61739813,-86.6782947,0.520148151,73.1445688,6.288328037,1,1,1,1,0,1
AXA BANQUE FINANCEMENT,Commercial bank,FR,2012,905521,958280,1.985384938,1.191847761,19416,2.02613015,-1.425647651,-0.948162798,94.49440665,0.122664238,0.086615698,0.510706683,0.232395542,8.120799766,0,0,0,0,0,0
AXA BANQUE FINANCEMENT,Commercial bank,FR,2013,925896,975016,1.985384938,1.191847761,19562,2.00632605,2.225144866,1.488890139,94.96213395,0.467727309,0.329442331,0.373532332,0.256406049,7.899357549,0,0,0,0,0,0
